Openissues: 298
Closedissues 1502
{comments=96, state=closed, durationTime=934 Days 20 Hours 23 Minutes 58 Seconds}
{comments=61, state=closed, durationTime=67 Days 20 Hours 15 Minutes 17 Seconds}
{comments=56, state=closed, durationTime=243 Days 2 Hours 32 Minutes 34 Seconds}
{comments=54, state=closed, durationTime=244 Days 18 Hours 5 Minutes 19 Seconds}
{comments=37, state=closed, durationTime=10 Days 1 Hours 25 Minutes 44 Seconds}
{comments=37, state=closed, durationTime=102 Days 19 Hours 20 Minutes 51 Seconds}
{comments=35, state=open, durationTime=No}
{comments=33, state=open, durationTime=No}
{comments=33, state=closed, durationTime=16 Days 21 Hours 14 Minutes 43 Seconds}
{comments=28, state=closed, durationTime=8 Days 9 Hours 59 Minutes 33 Seconds}
{comments=22, state=closed, durationTime=36 Days 8 Hours 24 Minutes 20 Seconds}
{comments=22, state=closed, durationTime=152 Days 23 Hours 24 Minutes 18 Seconds}
{comments=22, state=closed, durationTime=398 Days 17 Hours 8 Minutes 58 Seconds}
{comments=22, state=closed, durationTime=9 Days 3 Hours 50 Minutes 51 Seconds}
{comments=21, state=closed, durationTime=6 Days 3 Hours 46 Minutes 26 Seconds}
{comments=19, state=open, durationTime=No}
{comments=18, state=closed, durationTime=3 Days 22 Hours 55 Minutes 10 Seconds}
{comments=18, state=open, durationTime=No}
{comments=17, state=closed, durationTime=1 Days 23 Hours 16 Minutes 30 Seconds}
{comments=17, state=closed, durationTime=11 Days 8 Hours 39 Minutes 53 Seconds}
{comments=17, state=closed, durationTime=14 Days 1 Hours 19 Minutes 0 Seconds}
{comments=16, state=closed, durationTime=0 Days 7 Hours 54 Minutes 50 Seconds}
{comments=15, state=closed, durationTime=87 Days 18 Hours 56 Minutes 36 Seconds}
{comments=15, state=open, durationTime=No}
{comments=15, state=closed, durationTime=19 Days 15 Hours 32 Minutes 4 Seconds}
{comments=15, state=closed, durationTime=2 Days 9 Hours 5 Minutes 11 Seconds}
{comments=13, state=closed, durationTime=10 Days 4 Hours 22 Minutes 46 Seconds}
{comments=13, state=closed, durationTime=23 Days 5 Hours 13 Minutes 56 Seconds}
{comments=13, state=closed, durationTime=17 Days 5 Hours 41 Minutes 0 Seconds}
{comments=13, state=closed, durationTime=11 Days 19 Hours 19 Minutes 21 Seconds}
{comments=13, state=closed, durationTime=451 Days 5 Hours 45 Minutes 53 Seconds}
{comments=13, state=closed, durationTime=74 Days 23 Hours 35 Minutes 10 Seconds}
{comments=13, state=closed, durationTime=0 Days 4 Hours 59 Minutes 51 Seconds}
{comments=13, state=closed, durationTime=78 Days 16 Hours 14 Minutes 4 Seconds}
{comments=13, state=closed, durationTime=16 Days 4 Hours 28 Minutes 34 Seconds}
{comments=13, state=open, durationTime=No}
{comments=12, state=closed, durationTime=153 Days 4 Hours 25 Minutes 58 Seconds}
{comments=12, state=closed, durationTime=182 Days 12 Hours 11 Minutes 7 Seconds}
{comments=12, state=open, durationTime=No}
{comments=12, state=open, durationTime=No}
{comments=12, state=closed, durationTime=1 Days 18 Hours 48 Minutes 26 Seconds}
{comments=12, state=open, durationTime=No}
{comments=11, state=closed, durationTime=0 Days 1 Hours 37 Minutes 51 Seconds}
{comments=11, state=open, durationTime=No}
{comments=11, state=closed, durationTime=11 Days 1 Hours 17 Minutes 43 Seconds}
{comments=11, state=closed, durationTime=10 Days 18 Hours 36 Minutes 10 Seconds}
{comments=11, state=closed, durationTime=48 Days 20 Hours 13 Minutes 29 Seconds}
{comments=11, state=open, durationTime=No}
