Total Releases: 84
{Tag_name=1.2.83, Published_at=2022-05-23 09:10:31, NewCommits=2}
{Tag_name=1.2.79, Published_at=2021-12-19 20:33:19, NewCommits=1}
{Tag_name=1.2.76, Published_at=2021-04-05 18:41:30, NewCommits=2}
{Tag_name=1.2.75, Published_at=2020-11-05 21:21:31, NewCommits=1}
{Tag_name=1.2.74, Published_at=2020-10-08 22:04:20, NewCommits=2}
{Tag_name=1.2.73, Published_at=2020-07-26 23:49:24, NewCommits=1}
{Tag_name=1.2.72, Published_at=2020-06-27 11:47:44, NewCommits=2}
{Tag_name=1.2.71, Published_at=2020-06-14 23:28:43, NewCommits=1}
{Tag_name=1.2.70, Published_at=2020-06-01 08:35:14, NewCommits=2}
{Tag_name=1.2.69, Published_at=2020-06-01 08:34:47, NewCommits=27}
{Tag_name=1.2.68, Published_at=2020-03-28 11:48:10, NewCommits=1}
{Tag_name=1.2.67, Published_at=2020-03-19 23:31:22, NewCommits=2}
{Tag_name=1.2.66, Published_at=2020-03-01 14:14:57, NewCommits=1}
{Tag_name=1.2.62, Published_at=2019-10-07 22:45:43, NewCommits=2}
{Tag_name=1.2.61, Published_at=2019-09-20 01:26:35, NewCommits=0}
{Tag_name=1.2.60, Published_at=2019-09-05 15:43:13, NewCommits=9}
{Tag_name=1.2.59, Published_at=2019-07-31 22:38:40, NewCommits=3}
{Tag_name=1.2.58, Published_at=2019-05-03 14:51:12, NewCommits=2}
{Tag_name=1.1.71.android, Published_at=2019-04-21 17:28:47, NewCommits=0}
{Tag_name=1.2.57, Published_at=2019-04-11 22:14:47, NewCommits=2}
{Tag_name=1.2.56, Published_at=2019-01-27 01:17:14, NewCommits=2}
{Tag_name=1.2.55, Published_at=2019-01-20 20:18:39, NewCommits=3}
{Tag_name=1.2.54, Published_at=2018-11-29 20:13:14, NewCommits=2}
{Tag_name=1.2.52, Published_at=2018-11-18 17:44:28, NewCommits=1}
