Total Releases: 47
{Tag_name=arthas-all-3.6.7, Created_at=2022-11-15 15:26:33, NewCommits=33}
{Tag_name=arthas-all-3.6.6, Created_at=2022-09-04 15:10:20, NewCommits=8}
{Tag_name=arthas-all-3.6.5, Created_at=2022-08-26 10:56:44, NewCommits=16}
{Tag_name=arthas-all-3.6.4, Created_at=2022-07-30 16:40:33, NewCommits=15}
{Tag_name=arthas-all-3.6.3, Created_at=2022-06-13 14:36:17, NewCommits=3}
{Tag_name=arthas-all-3.6.2, Created_at=2022-06-01 17:30:17, NewCommits=12}
{Tag_name=arthas-all-3.6.1, Created_at=2022-04-25 11:10:46, NewCommits=19}
{Tag_name=arthas-all-3.6.0, Created_at=2022-03-25 16:50:30, NewCommits=9}
{Tag_name=arthas-all-3.5.6, Created_at=2022-03-03 15:30:13, NewCommits=39}
{Tag_name=arthas-all-3.5.5, Created_at=2021-12-06 17:13:40, NewCommits=49}
{Tag_name=arthas-all-3.5.4, Created_at=2021-09-02 11:48:28, NewCommits=16}
{Tag_name=arthas-all-3.5.3, Created_at=2021-07-22 19:51:44, NewCommits=33}
{Tag_name=arthas-all-3.5.2, Created_at=2021-06-10 21:03:56, NewCommits=22}
{Tag_name=arthas-all-3.5.1, Created_at=2021-05-13 23:23:30, NewCommits=69}
{Tag_name=arthas-all-3.5.0, Created_at=2021-03-09 11:47:51, NewCommits=20}
{Tag_name=arthas-all-3.4.8, Created_at=2021-02-26 15:10:25, NewCommits=2}
{Tag_name=arthas-all-3.4.7, Created_at=2021-02-25 22:26:13, NewCommits=41}
{Tag_name=arthas-all-3.4.6, Created_at=2021-01-11 21:59:30, NewCommits=49}
{Tag_name=arthas-all-3.4.5, Created_at=2020-12-03 00:00:19, NewCommits=29}
{Tag_name=arthas-all-3.4.4, Created_at=2020-11-04 12:41:09, NewCommits=37}
{Tag_name=arthas-all-3.4.3, Created_at=2020-09-27 23:10:37, NewCommits=10}
{Tag_name=arthas-all-3.4.2, Created_at=2020-09-22 22:28:33, NewCommits=11}
{Tag_name=arthas-all-3.4.1, Created_at=2020-09-11 20:45:40, NewCommits=13}
{Tag_name=arthas-all-3.4.0, Created_at=2020-09-02 23:32:26, NewCommits=61}
{Tag_name=arthas-all-3.3.9, Created_at=2020-08-11 20:05:53, NewCommits=9}
{Tag_name=arthas-all-3.3.8, Created_at=2020-08-10 21:41:05, NewCommits=45}
{Tag_name=arthas-all-3.3.7, Created_at=2020-07-24 00:30:48, NewCommits=58}
{Tag_name=arthas-all-3.3.6, Created_at=2020-07-01 00:03:53, NewCommits=4}
{Tag_name=arthas-all-3.3.5, Created_at=2020-06-30 23:33:35, NewCommits=6}
{Tag_name=arthas-all-3.3.4, Created_at=2020-06-30 14:43:43, NewCommits=34}
{Tag_name=arthas-all-3.3.3, Created_at=2020-06-05 21:50:44, NewCommits=14}
{Tag_name=arthas-all-3.3.2, Created_at=2020-06-01 19:42:46, NewCommits=8}
{Tag_name=arthas-all-3.3.1, Created_at=2020-05-29 20:13:44, NewCommits=6}
{Tag_name=arthas-all-3.3.0, Created_at=2020-05-28 02:10:36, NewCommits=124}
{Tag_name=arthas-all-3.2.0, Created_at=2020-04-11 23:31:22, NewCommits=15}
{Tag_name=arthas-all-3.1.8, Created_at=2020-04-02 18:53:37, NewCommits=71}
{Tag_name=arthas-all-3.1.7, Created_at=2019-12-04 11:30:34, NewCommits=3}
{Tag_name=arthas-all-3.1.6, Created_at=2019-12-04 02:45:01, NewCommits=22}
{Tag_name=arthas-all-3.1.5, Created_at=2019-11-26 02:15:24, NewCommits=52}
{Tag_name=arthas-all-3.1.4, Created_at=2019-09-25 02:14:33, NewCommits=16}
{Tag_name=arthas-all-3.1.3, Created_at=2019-09-19 00:58:56, NewCommits=11}
{Tag_name=arthas-all-3.1.2, Created_at=2019-09-09 11:32:23, NewCommits=79}
{Tag_name=arthas-all-3.1.1, Created_at=2019-05-15 17:34:31, NewCommits=94}
{Tag_name=3.1.0, Created_at=2019-02-14 01:11:27, NewCommits=165}
{Tag_name=arthas-all-3.0.5, Created_at=2018-11-28 21:36:44, NewCommits=337}
{Tag_name=arthas-all-3.0.4, Created_at=2018-09-14 18:48:12, NewCommits=46}
{Tag_name=3.0.0-SNAPSHOT, Created_at=2018-09-06 02:01:44, NewCommits=0}
